paper_id,sentence_id
0,41860
1,3856
2,8937
2,23260
2,23267
2,23315
2,23325
2,23531
2,37091
2,42508
3,24936
5,14805
5,14817
6,3084
6,21558
7,12031
10,1636
14,11825
14,42558
14,42565
15,5463
17,25646
18,28554
18,28589
21,27434
25,44874
27,13327
27,28379
27,28390
27,28391
27,28398
27,32854
27,32936
27,32938
27,32942
27,32943
31,18467
31,18477
31,18479
31,18496
31,18501
31,18502
31,18538
31,28402
31,28402
31,44478
31,44479
31,44480
31,44492
31,44498
31,44502
31,44530
32,138
32,2213
32,12503
32,30381
32,30385
35,5805
35,5806
35,5824
35,6107
35,8389
35,8391
35,8396
35,8419
35,8422
35,8430
35,17377
35,17379
35,18946
35,27514
37,28389
37,37237
37,44521
37,44528
39,17481
39,37975
39,38050
39,38064
39,38081
40,6605
40,6634
40,6924
40,6932
40,6933
40,6935
40,6955
40,6960
41,7091
41,31004
41,44930
43,34880
43,34881
44,16913
44,16941
44,16970
44,31950
44,31954
44,31963
44,31979
44,31986
45,389
45,25506
45,27733
45,27739
45,27784
45,27785
45,27788
45,27795
45,27796
45,27805
45,27827
45,27839
45,27842
45,27845
45,27860
45,27860
45,27860
45,27861
45,27861
45,27863
45,27864
45,27865
45,27866
45,27866
45,27867
45,27877
45,27878
45,27879
45,27885
45,27886
45,27887
45,27890
45,27890
45,27893
45,27895
45,27895
45,27896
45,27905
45,27906
45,27908
45,27910
45,27913
45,29058
46,34148
47,27379
47,27388
47,27391
47,27392
47,27448
47,34535
47,34536
47,34542
47,34544
47,34549
47,34572
47,34582
47,34590
47,34591
53,1975
53,6096
53,6097
53,26848
53,26866
53,26877
54,34700
54,34719
54,34724
56,2108
58,1647
58,22792
58,22815
58,22821
58,22842
58,22857
58,29933
60,15588
60,15599
60,15620
60,15652
60,15670
60,15688
60,16081
60,26265
62,41040
68,16776
68,16780
68,16807
68,16813
68,16815
68,16816
70,38403
71,38367
75,9789
75,9798
75,22815
78,39778
78,40090
80,44913
80,44915
80,45162
80,45211
80,45222
80,45223
80,45251
81,2224
85,7549
85,7559
85,7573
85,7579
85,12679
85,12851
85,12856
85,12856
86,6373
86,6375
86,6377
86,6396
86,6426
86,6428
86,6434
86,6442
89,28469
89,28529
89,28541
89,28544
89,28548
89,28562
89,28565
89,28566
89,28567
89,28569
89,28595
89,28614
89,28615
89,28621
90,16706
90,16746
90,16747
90,16748
90,16750
90,16751
90,16766
90,16768
91,21530
93,37968
93,37969
93,37970
93,37974
95,39814
95,39825
98,7511
98,7536
100,7774
100,7802
100,39648
100,39658
100,39682
100,39695
100,39708
102,14016
103,9785
103,9803
104,40249
106,27505
106,27510
107,8122
108,4764
108,4777
108,12031
108,38994
110,4102
114,16388
114,16389
115,1304
115,1332
115,7636
115,36862
116,133
118,19968
121,27387
121,27418
121,27419
122,622
122,657
122,660
122,661
122,670
122,769
122,6081
122,6159
122,6174
122,6182
122,6187
122,6190
122,6200
123,39991
123,41779
128,22104
128,22112
128,25195
128,45047
129,9969
129,9992
135,41776
135,41809
136,18520
139,7079
140,10292
140,10293
140,10301
140,10333
140,10432
143,4532
143,28399
144,10433
144,10438
144,16034
148,21319
148,30089
148,36491
149,5839
149,7560
149,12879
149,12886
149,12892
153,9677
153,9686
153,28667
153,28692
153,41304
154,23020
154,29066
154,29067
154,29067
154,29084
154,29085
155,26603
157,11735
157,11899
157,12419
157,24607
159,15691
159,21016
159,21046
159,21050
159,21054
159,21062
159,21064
159,21065
159,21066
159,21067
159,21068
159,21069
159,21073
159,21077
159,21078
159,21079
159,21080
160,17034
161,26174
161,26177
161,26184
161,26196
161,40805
162,2566
162,2575
162,39173
162,39190
165,27738
165,27764
166,26181
166,30089
170,12109
170,12110
172,7398
173,18503
178,38222
178,38260
178,42187
180,25561
180,25591
180,30623
181,42564
183,28468
183,28531
187,30455
187,30464
187,30474
187,30479
187,30482
187,30483
187,30492
187,30504
187,30505
187,30506
187,30508
187,30515
187,30518
188,6217
188,6266
188,6267
188,6275
188,6465
190,36047
191,6278
191,6319
191,6696
191,6697
191,26337
206,14808
208,24812
208,24813
208,26243
208,26287
208,26288
208,26306
208,26309
208,26619
208,26906
208,30347
208,38191
211,26184
211,40828
211,40830
211,40836
211,40837
212,20412
212,20426
212,20495
212,39968
212,39969
212,40005
212,40012
213,22833
213,23952
214,18059
215,5046
220,40090
220,40111
220,40130
220,40131
221,6156
221,6175
221,6182
221,6187
221,6190
221,6200
221,28374
222,9695
226,40244
227,1801
227,1838
233,43354
235,11242
241,8460
242,24472
242,24482
242,27779
242,40421
242,40422
242,40468
242,40469
242,40470
242,40471
247,11451
248,11805
248,11993
248,12027
248,12051
248,22808
250,16799
252,22354
253,20835
253,20836
253,20852
253,43664
253,43699
253,43710
258,26004
258,26204
258,26208
