title,link,abstract
Introducing Peripheral Awareness as a Neurological State for Human-computer Integration,https://dl.acm.org/doi/10.1145/3313831.3376128,"
In this work we introduce peripheral awareness as a neurological state for real-time human-computer integration, where the human is assisted by a computer to interact with the world. Changes to the field of view in peripheral awareness have been linked with quality of human performance. This instinctive narrowing of vision that occurs as a threat is perceived has implications in activities that benefit from the user having a wide field of view, such as cycling to navigate the environment. We present ""Ena"", a novel EEG-eBike system that draws from the user's neural activity to determine when the user is in a state of peripheral awareness to regulate engine support. A study with 20 participants revealed various themes and tactics suggesting that peripheral awareness as a neurological state is viable to align human-machine integration with internal bodily processes. Ena suggests that our work facilitates a safe and enjoyable human-computer integration experience. Prior work in HCI has not yet studied changes to the user’s field of view in relation to peripheral awareness via the user’s neural activity. Peripheral awareness can influence how much we see, our thinking processes that hinder or support creativity, human performance and the resulting decisions we make. As such, this link between peripheral awareness and our interactions with the world is of paramount importance to the HCI community. To take the first steps to begin filling this gap in knowledge and further our field, we orchestrated and studied a system outside of the lab, in a real world setting, using peripheral awareness as neurological state via EEG in real-time—the changes in the user’s field of view were used to create an integration between the user and an electric bike, which regulated engine support according to whether or not the user was in a state of peripheral awareness. By drawing directly from the user’s neurological activity while navigating the environment, our system was able to access and react to the user’s pre-attentive processing state to support the user experience. In this first-of-a-kind approach in HCI, we offer a detailed system implementation description, including reusable code, practical themes and tactics resulting from a study with 20 bike riders to study and design integration experiences that use peripheral awareness as a neurological state. Potential future work includes an invitation for the field to explore aligning interactive experiences with internal bodily processes, such as peripheral awareness, to inform, design and afford a greater benefit to people.
"
Venous Materials: Towards Interactive Fluidic Mechanisms,https://dl.acm.org/doi/10.1145/3313831.3376129,"
Venous Materials is a novel concept and approach of an interactive material utilizing fluidic channels. We present a design method for fluidic mechanisms that respond to deformation by mechanical inputs from the user, such as pressure and bending. We designed a set of primitive venous structures that act as embedded analog fluidic sensors, displaying flow and color change. In this paper, we consider the fluid as the medium to drive tangible information triggered by deformation, and at the same time, to function as a responsive display of that information. To provide users with a simple way to create and validate designs of fluidic structures, we built a software platform and design tool UI. This design tool allows users to quickly design the geometry, and simulate the flow with intended mechanical force dynamically. We present a range of applications that demonstrate how Venous Materials can be utilized to augment interactivity of everyday physical objects. In conclusion, our paper introduced Venous Materials, a new category of interactive material that utilizes internal fluidic mechanisms that respond to deformation input and displays information by flow of liquid. We presented the design space to define the versatile capability of our approach together with a design pipeline including simulation software and an accessible laser-cutter-based fabrication method. Our technical evaluation validated that the simulation results match the behavior of our actual fabricated samples with simple geometric patterns. While there are many future challenges and design opportunities, the exploration of Venous Materials in this paper opens a channel towards the rich potential interaction capabilities of fluidic mechanisms.

"
Considering Parents in Coding Kit Design: Understanding Parents' Perspectives and Roles,https://dl.acm.org/doi/10.1145/3313831.3376130,"
As education researchers, policymakers, and industry leaders recognize the importance of computing, many coding kits (toys and apps) have emerged to help young children learn to code at home. However, how parents perceive and support their children's use of the kits at home are less understood. In this study, we performed semi-structured interviews with eighteen parents who obtained coding kits for their young children for home use. The results show parents expected their kids to have fun and meaningful interactions with the kits. In supporting the play, parents took on various roles, mostly acting as spectator, scaffolder, and teacher. While parents perceived benefits of coding kits like a changed perspective on coding, they also reported concerns, such as their limited programming knowledge to provide help. Finally, we reflect on design and research implications to develop coding kits that consider parents' perspectives and important roles in supporting young children's exploration with computational thinking. In this study, we performed semi-structured interviews with eighteen parents whose young child(ren) had experiences with coding kit(s) at home. The findings provide insights into parents’ expectations, roles, perceived benefits, and concerns around their children’s learning and play with coding kits. In supporting children’s interaction with the kits, parents took on various roles, mostly acting as spectators, scaffolders, and teachers. Some new roles were also identified, such as being an enforcer, executor, and dominator. We further reflect on implications for coding kit design based on parents’ perspectives and roles, such as including design features to support parents’ roles and sibling play. This work not only expands the understanding of parent-child interaction in children’s use of educational technologies but also can inspire coding kit designs that consider the important roles and perspectives of parents to better support children’s exploration with computational thinking.
"
"If I Hear You Correctly: Building and Evaluating Interview Chatbots with Active Listening
                                 Skills",https://dl.acm.org/doi/10.1145/3313831.3376131,"
Interview chatbots engage users in a text-based conversation to draw out their views and opinions. It is, however, challenging to build effective interview chatbots that can handle user free-text responses to open-ended questions and deliver engaging user experience. As the first step, we are investigating the feasibility and effectiveness of using publicly available, practical AI technologies to build effective interview chatbots. To demonstrate feasibility, we built a prototype scoped to enable interview chatbots with a subset of active listening skills-the abilities to comprehend a user's input and respond properly. To evaluate the effectiveness of our prototype, we compared the performance of interview chatbots with or without active listening skills on four common interview topics in a live evaluation with 206 users. Our work presents practical design implications for building effective interview chatbots, hybrid chatbot platforms, and empathetic chatbots beyond interview tasks. To investigate the feasibility of using publicly available technologies for building effective interview chatbots and the effect of such chatbots, we have presented a prototype that combines a rule-based chatbot builder with data-driven models to power interview chatbots with active listening skills. These skills enable a chatbot to better handle complex and diverse user responsesto open-ended interview questions. As a result, such a chatbot delivers more engaging user experience and elicit higher-quality user responses.

"
BlyncSync: Enabling Multimodal Smartwatch Gestures with Synchronous Touch and Blink,https://dl.acm.org/doi/10.1145/3313831.3376132,"
Input techniques have been drawing abiding attention along with the continual miniaturization of personal computers. In this paper, we present BlyncSync, a novel multi-modal gesture set that leverages the synchronicity of touch and blink events to augment the input vocabulary of smartwatches with a rapid gesture, while at the same time, offers a solution to the false activation problem of blink-based input. BlyncSync contributes the concept of a mutual delimiter, where two modalities are used to jointly delimit the intention of each other's input. A study shows that BlyncSync is 33% faster than using a baseline input delimiter (physical smartwatch button), with only 150ms in overhead cost compared to traditional touch events. Furthermore, our data indicates that the gesture can be tuned to elicit a true positive rate of 97% and a false positive rate of 1.68%. We have presented BlyncSync, a set of multi-modal smartwatch gestures that were designed as input delimiters for both touch and eye input. Our work introduces the concept of mutual delimiters and offers a design space of Touch & Blink gestures. Our experiments showed that the BlyncSync gestures are resistant to false positives, while still achieving high true positive rates. Since BlyncSync is easy to perform and unlikely to be accidentally invoked, it provides an always-active input method for smartwatch interaction. Based on the study results, we further provide insights to the trade-off of selecting activation thresholds, which could enable deployments of BlyncSync within commercial products. Furthermore, since the synchronous touch and eye events serve as mutual delimiters, BlyncSync spans a unique application space that covers both smartwatch interaction and gaze input, as demonstrated by our sample applications. We hope our technique will serve as important groundwork for future work on multimodal wearable input.

"
"Making Space for Social Sharing: Insights from a Community-Based Social Group for
                                 People with Dementia",https://dl.acm.org/doi/10.1145/3313831.3376133,"
People with dementia face major challenges in maintaining active social interaction. Designing digital tools for social sharing within families and care facilities has been well explored by HCI research, but comparatively less work has considered community settings. Situated in a community-based program for storytelling and socializing, our field observations and semi-structured interviews with people living with early-middle stage dementia, family caregivers, and program facilitators illustrate both positive and challenging aspects of social activities. We contribute a nuanced understanding of participants' social lives and identify four factors that aid in achieving positive outcomes: effective agencies for social interaction, normalized and friendly environments, collaboration and teamwork, and mediating social cues and communication. Finally, we examine our findings through the lens of past HCI work and offer insights for designing new social technologies to diversify the range of social spaces in community settings, through expanding peer collaboration, leveraging physical and virtual spaces, creating open-ended experiences, and developing flexible platforms. Our recent fieldwork in the Tales & Travels storytelling and social program, distinctive in its community setting, reveals the potential to diversify social sharing spaces for people with dementia, thus informing the design of new social technologies. On the basis of thematic analysis on interview transcripts and observation notes, we propose to further community-based peer collaboration and balance the tension between co-located and technology-mediated spaces. We suggest richer content, more open-ended structures, and synchronized creating and sharing processes, diversifying the roles of people with dementia in social interaction. We further discuss developing more flexible social platforms to offer person-centered yet inclusive activities.
"
Phasking on Paper: Accessing a Continuum of PHysically Assisted SKetchING,https://dl.acm.org/doi/10.1145/3313831.3376134,"
When sketching, we must choose between paper (expressive ease, ruler and eraser) and computational assistance (parametric support, a digital record). PHysically Assisted SKetching provides both, with a pen that displays force constraints with which the sketcher interacts as they draw on paper. Phasking provides passive, ""bound"" constraints (like a ruler); or actively ""brings"" the sketcher along a commanded path (e.g., a curve), which they can violate for creative variation. The sketcher modulates constraint strength (control sharing) by bearing down on the pen-tip. Phasking requires untethered, graded force-feedback, achieved by modifying a ballpoint drive that generates force through rolling surface contact. To understand phasking's viability, we implemented its interaction concepts, related them to sketching tasks and measured device performance. We assessed the experience of 10 sketchers, who could understand, use and delight in phasking, and who valued its control-sharing and digital twinning for productivity, creative control and learning to draw. Our evaluations indicate that this prototype was sufficient to assess phasking’s potential. The concept found an enthusiastic reception, and feedback points to key improvements. With a full interactive experience in place, we have proved possible many other interesting functions within this framework, including modifying elements (e.g., resize, rotate, amend) as well as copy, paste, undo; identifying free-drawn marks as parametric objects; combining objects into a virtual construct, and even simulating dynamic virtual systems. It is a small straightforward step to full digital twinning: modify it onscreen then bring it back to paper with guided tracing. Phasking is too different from other digital tools to know its full potential. Being untethered, portable and self-contained, Phasking Pen can, with attainable modifications, be used on arbitrary surfaces. This could lead to a new way of ‘drawing on a napkin’, support blind mobility by revealing maps on a corridor wall, and allow drawing and playing with simulations on a whiteboard – an ‘object to think with’ [28, 30].

"
"Peer-to-Peer Energy Markets: Understanding the Values of Collective and Community
                                 Trading",https://dl.acm.org/doi/10.1145/3313831.3376135,"
Peer-to-peer energy-trading platforms (P2P) have the potential to transform the current energy system. However, research is presently scarce on how people would like to participate in, and what would they expect to gain from, such platforms. We address this gap by exploring these questions in the context of the UK energy market. Using a qualitative interview study, we examine how 45 people with an interest in renewable energy understand P2P. We find that the prospective users value the collective benefits of P2P, and understand participation as a mechanism to support social, ecological and economic benefits for communities and larger groups. Drawing on the findings from the interview analysis, we explore broad design characteristics that a prospective P2P energy trading platform should provide to meet the expectations and concerns voiced by our study participants. We extend HCI research examining P2P energy markets by analyzing how prospective users understand, value and seek to engage in these platforms, with a focus on members of the public who have a pre-existing interest in renewable energy. Our participants valued experiences that enable communities to organize around shared values, build an understanding of P2P platforms and the ways that trading impacts the environment, and to configure their own selective engagement with business models and broader energy infrastructure. Our analysis emphasizes the importance of nurturing and supporting groups within P2P energy-trading platforms, particularly for populations who already have an interest and engagement with renewable energy. Likewise, our findings are consistent with existing research that highlights the need for autonomy, control and economic equality in these markets. More broadly, our research speaks to examinations of the sharing economy, we bring together research that emphasizes the social dimensions of sharing with calls to examine the social justice implications of sharing-economy applications. Specifically, we outline how users can harness groups to advance sustainability aims and how platforms can provide infrastructure and opportunities to support these efforts. Thus, our contributions can provide insights for the HCI community, private companies and policy makers in developing P2P energy markets.
"
AirTouch: 3D-printed Touch-Sensitive Objects Using Pneumatic Sensing,https://dl.acm.org/doi/10.1145/3313831.3376136,"
3D printing technology can be used to rapidly prototype the look and feel of 3D objects. However, the objects produced are passive. There has been increasing interest in making these objects interactive, yet they often require assembling components or complex calibration. In this paper, we contribute AirTouch, a technique that enables designers to fabricate touch-sensitive objects with minimal assembly and calibration using pneumatic sensing. AirTouch-enabled objects are 3D printed as a single structure using a consumer-level 3D printer. AirTouch uses pre-trained machine learning models to identify interactions with fabricated objects, meaning that there is no calibration required once the object has completed printing. We evaluate our technique using fabricated objects with various geometries and touch sensitive locations, obtaining accuracies of at least 90% with 12 interactive locations. In this paper we introduced AirTouch: a technique for fabricating touch-sensitive objects without the need of any postprint activities such as assembly or calibration. We presented the theory behind AirTouch, our explorations of parameters for both interaction and successful fabrication, and guidelines for designing AirTouch-enabled objects. We illustrated AirTouch’s flexibility with several applications, and showed that AirTouch is able to identify interactions with accuracies of at least 91% with 12 interactive locations.

"
Digital Liminalities: Understanding Isolated Communities on the Edge,https://dl.acm.org/doi/10.1145/3313831.3376137,"
This paper brings together three distinct case studies to explore how social isolation and notions of liminality shape ontological security within communities on ""the edge"" of society. Each case study exemplifies the differing nature of liminality in everyday contexts and the extent to which increased digitalisation perturbs it in multiple ways. Taking an ethnographic approach, the research engaged with seafarers onboard container ships in European waters, communities in Greenland and welfare claimants in the North East of England. It posits that technological innovation must attend to the routinisation of everyday life through which people establish ontological security if such innovation is to be supportive. The paper thus moves beyond existing HCI scholarship by foregrounding the contextual and relational aspects of social isolation rather than the technological. It does so by advocating a ground-up design process that considers ontological security in relation to notions of liminality among communities on the edge. Grounding our findings in three distinct communities on the edge of society, we have shown how social isolation and feelings of security are interwoven and shape digital interactions. The three case studies also highlight the differing nature of liminality in everyday contexts and how spaces “between” connected and disconnected – and transitions between the two – perturbs everyday routines needed for the individual to establish ontological security. We have suggested how the HCI community can support digital design that attends to people’s sense of security and experience of liminality. This can be done by designing interventions and community-led engagements that attend to wider social, political economic and geographical aspects shaping social isolation. We see this paper as a starting point for a wider programme of engagements with communities experiencing social isolation on the edge of society, focusing on their sense of collective and individual security. We posit that the HCI community is uniquely positioned to lead such a programme.
"
