paper_id,sentence_id
0,74338
1,7072
2,16426
2,41888
2,41910
2,41987
2,42003
2,42354
2,66103
2,75621
3,45007
5,27039
5,27085
6,5737
6,38783
7,21639
10,3170
14,21255
14,75694
14,75709
15,10182
17,46306
18,51303
18,51373
21,49268
25,79673
27,24142
27,50942
27,50969
27,50973
27,50995
27,58990
27,59139
27,59145
27,59152
27,59154
31,33366
31,33377
31,33380
31,33400
31,33409
31,33410
31,33456
31,51005
31,51006
31,79119
31,79122
31,79124
31,79137
31,79146
31,79153
31,79196
32,314
32,4221
32,22533
32,54627
32,54640
35,10790
35,10791
35,10818
35,11443
35,15407
35,15409
35,15414
35,15445
35,15450
35,15464
35,31501
35,31503
35,34203
35,49385
37,50967
37,66343
37,79181
37,79191
39,31715
39,67583
39,67689
39,67717
39,67741
40,12364
40,12418
40,12912
40,12935
40,12943
40,12948
40,12985
40,12996
41,13204
41,55846
41,79785
43,62257
43,62258
44,30695
44,30743
44,30800
44,57391
44,57397
44,57406
44,57426
44,57436
45,825
45,45985
45,49729
45,49751
45,49815
45,49822
45,49841
45,49861
45,49869
45,49885
45,49924
45,49940
45,49945
45,49949
45,49971
45,49980
45,49991
45,50009
45,50010
45,50020
45,50025
45,50027
45,50030
45,50033
45,50035
45,50048
45,50051
45,50053
45,50068
45,50072
45,50074
45,50080
45,50082
45,50086
45,50091
45,50092
45,50098
45,50110
45,50116
45,50120
45,50124
45,50131
45,52238
46,61038
47,49174
47,49189
47,49200
47,49201
47,49286
47,61713
47,61714
47,61734
47,61736
47,61743
47,61768
47,61780
47,61796
47,61797
53,3762
53,11386
53,11393
53,48231
53,48255
53,48275
54,61986
54,62019
54,62026
56,4016
58,3198
58,40894
58,40946
58,40962
58,41018
58,41046
58,53721
60,28477
60,28492
60,28518
60,28555
60,28577
60,28603
60,29229
60,47309
62,72962
68,30402
68,30416
68,30455
68,30462
68,30464
68,30465
70,68298
71,68253
75,17913
75,17933
75,40943
78,70866
78,71388
80,79756
80,79758
80,80239
80,80308
80,80331
80,80334
80,80395
81,4242
85,14006
85,14028
85,14050
85,14062
85,22830
85,23187
85,23215
85,23219
86,11932
86,11941
86,11945
86,11968
86,12029
86,12034
86,12050
86,12062
89,51143
89,51238
89,51271
89,51274
89,51282
89,51324
89,51334
89,51337
89,51340
89,51342
89,51380
89,51430
89,51436
89,51443
90,30289
90,30362
90,30363
90,30364
90,30367
90,30368
90,30391
90,30393
91,38746
93,67576
93,67577
93,67578
93,67582
95,70914
95,70952
98,13948
98,13990
100,14401
100,14453
100,70663
